,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
0,Denver Nuggets,1610612743,5,1,4,0.2,240.0,99.8,106.3,-6.6,96.9,14.3,0.172,0.708,0.441,0.125,13,13,1,13,13,11,13,13,11,16,11,16,2,1,2010-11
1,New York Knicks,1610612752,4,0,4,0.0,192.0,95.9,104.2,-8.3,94.9,13.2,0.307,0.693,0.478,0.161,16,16,1,16,16,16,11,14,14,4,13,11,14,2,2010-11
2,Indiana Pacers,1610612754,5,1,4,0.2,240.0,96.8,103.3,-6.5,93.8,13.1,0.291,0.632,0.453,0.163,13,13,1,13,13,15,7,12,15,5,16,14,15,3,2010-11
3,Oklahoma City Thunder,1610612760,17,9,8,0.529,841.0,106.9,103.3,3.6,93.7,13.8,0.313,0.744,0.535,0.161,3,3,16,6,3,2,8,2,13,2,6,2,13,4,2010-11
4,Memphis Grizzlies,1610612763,13,7,6,0.538,649.0,101.7,104.0,-2.3,92.6,14.5,0.281,0.722,0.496,0.135,5,5,11,5,5,7,10,8,9,7,7,6,3,5,2010-11
5,San Antonio Spurs,1610612759,6,2,4,0.333,293.0,100.5,103.1,-2.6,92.6,14.5,0.236,0.768,0.496,0.153,9,9,1,9,9,10,6,9,10,12,2,7,11,5,2010-11
6,Boston Celtics,1610612738,9,5,4,0.556,437.0,102.3,100.5,1.8,91.6,17.1,0.236,0.721,0.491,0.169,8,7,1,4,8,6,4,6,2,13,8,8,16,7,2010-11
7,Chicago Bulls,1610612741,16,9,7,0.563,773.0,101.6,98.2,3.4,89.8,16.1,0.323,0.761,0.537,0.15,4,3,14,3,4,8,2,4,5,1,4,1,10,8,2010-11
8,Orlando Magic,1610612753,6,2,4,0.333,288.0,99.5,96.6,2.9,89.5,12.5,0.289,0.766,0.524,0.144,9,9,1,9,10,12,1,5,16,6,3,4,7,9,2010-11
9,Dallas Mavericks,1610612742,21,16,5,0.762,1013.0,110.1,103.4,6.7,88.9,16.7,0.251,0.717,0.489,0.145,1,1,10,1,2,1,9,1,4,9,9,9,8,10,2010-11
10,Los Angeles Lakers,1610612747,10,4,6,0.4,480.0,105.3,106.0,-0.7,88.8,15.7,0.308,0.788,0.533,0.141,7,8,11,8,7,3,12,7,6,3,1,3,6,11,2010-11
11,Atlanta Hawks,1610612737,12,6,6,0.5,576.0,97.0,102.5,-5.5,88.7,15.6,0.229,0.706,0.469,0.14,6,6,11,7,6,13,5,10,7,14,12,12,5,12,2010-11
12,Miami Heat,1610612748,21,14,7,0.667,1018.0,104.0,100.3,3.6,88.6,14.1,0.26,0.754,0.513,0.155,1,2,14,2,1,4,3,2,12,8,5,5,12,13,2010-11
13,Philadelphia 76ers,1610612755,5,1,4,0.2,240.0,97.0,107.7,-10.7,88.3,16.8,0.239,0.691,0.462,0.119,13,13,1,13,13,14,14,16,3,11,14,13,1,14,2010-11
14,New Orleans Hornets,1610612740,6,2,4,0.333,288.0,101.1,110.8,-9.7,87.7,17.3,0.212,0.677,0.451,0.145,9,9,1,9,10,9,16,15,1,15,15,15,9,15,2010-11
15,Portland Trail Blazers,1610612757,6,2,4,0.333,288.0,103.8,109.8,-6.1,85.0,15.1,0.244,0.715,0.487,0.135,9,9,1,9,10,5,15,11,8,10,10,10,4,16,2010-11
0,San Antonio Spurs,1610612759,14,10,4,0.714,672.0,107.9,101.6,6.3,94.6,18.0,0.218,0.748,0.493,0.151,4,4,1,1,4,2,8,2,1,15,9,12,8,1,2011-12
1,Utah Jazz,1610612762,4,0,4,0.0,192.0,91.0,108.9,-17.9,94.4,13.0,0.32,0.807,0.537,0.142,15,15,1,15,15,15,16,16,14,3,2,1,6,2,2011-12
2,Denver Nuggets,1610612743,7,3,4,0.429,336.0,103.0,103.9,-1.0,93.3,15.9,0.33,0.667,0.502,0.119,9,9,1,7,10,4,11,8,4,1,16,9,1,3,2011-12
3,Dallas Mavericks,1610612742,4,0,4,0.0,192.0,99.4,107.8,-8.3,93.2,12.7,0.247,0.805,0.508,0.155,15,15,1,15,15,7,14,13,15,9,3,7,9,4,2011-12
4,Oklahoma City Thunder,1610612760,20,13,7,0.65,960.0,108.9,104.3,4.6,93.1,14.8,0.236,0.747,0.496,0.124,2,2,12,3,3,1,12,3,7,11,10,11,2,5,2011-12
5,Los Angeles Lakers,1610612747,12,5,7,0.417,576.0,102.3,106.5,-4.2,92.1,14.9,0.31,0.697,0.5,0.136,6,7,12,9,6,5,13,9,6,4,14,10,4,6,2011-12
6,Los Angeles Clippers,1610612746,11,4,7,0.364,533.0,99.1,103.5,-4.4,91.1,14.5,0.222,0.71,0.467,0.161,7,8,12,10,7,8,10,10,11,14,13,15,12,7,2011-12
